Country,Region,Year, GDP_pp 
Jamaica,Central America and the Caribbean,1/1/1976,"6,867.75"
Jamaica,Central America and the Caribbean,1/1/1981,"6,094.31"
Jamaica,Central America and the Caribbean,1/1/1986,"5,905.20"
Jamaica,Central America and the Caribbean,1/1/1991,"7,285.44"
Jamaica,Central America and the Caribbean,1/1/1996,"7,316.26"
Jamaica,Central America and the Caribbean,1/1/2001,"6,987.81"
Jamaica,Central America and the Caribbean,1/1/2006,"7,295.85"
Jamaica,Central America and the Caribbean,1/1/2011,"6,968.24"
Mexico,North America,1/1/1901,"1,837.59"
Mexico,North America,1/1/1906,"1,998.24"
Mexico,North America,1/1/1911,"2,017.76"
Mexico,North America,1/1/1916,"1,999.11"
Mexico,North America,1/1/1921,"2,386.88"
Mexico,North America,1/1/1926,"2,586.29"
Mexico,North America,1/1/1931,"2,128.79"
Mexico,North America,1/1/1936,"2,292.82"
Mexico,North America,1/1/1941,"2,570.67"
Mexico,North America,1/1/1946,"2,932.21"
Mexico,North America,1/1/1951,"3,447.11"
Mexico,North America,1/1/1956,"3,953.72"
Mexico,North America,1/1/1961,"4,512.03"
Mexico,North America,1/1/1966,"5,584.87"
Mexico,North America,1/1/1971,"6,486.92"
Mexico,North America,1/1/1976,"7,630.74"
Mexico,North America,1/1/1981,"9,890.22"
Mexico,North America,1/1/1986,"8,713.36"
Mexico,North America,1/1/1991,"9,315.66"
Mexico,North America,1/1/1996,"9,274.70"
Mexico,North America,1/1/2001,"10,763.08"
Mexico,North America,1/1/2006,"11,739.71"
Mexico,North America,1/1/2011,"11,689.30"
Nicaragua,Central America and the Caribbean,1/1/1901,"1,697.20"
Nicaragua,Central America and the Caribbean,1/1/1906,"1,788.39"
Nicaragua,Central America and the Caribbean,1/1/1911,"1,884.48"
Nicaragua,Central America and the Caribbean,1/1/1916,"1,985.74"
Nicaragua,Central America and the Caribbean,1/1/1921,"2,149.99"
Nicaragua,Central America and the Caribbean,1/1/1926,"2,046.39"
Nicaragua,Central America and the Caribbean,1/1/1931,"2,136.64"
Nicaragua,Central America and the Caribbean,1/1/1936,"1,633.72"
Nicaragua,Central America and the Caribbean,1/1/1941,"2,429.83"
Nicaragua,Central America and the Caribbean,1/1/1946,"2,451.96"
Nicaragua,Central America and the Caribbean,1/1/1951,"2,742.44"
Nicaragua,Central America and the Caribbean,1/1/1956,"3,288.89"
Nicaragua,Central America and the Caribbean,1/1/1961,"3,382.87"
Nicaragua,Central America and the Caribbean,1/1/1966,"4,481.54"
Nicaragua,Central America and the Caribbean,1/1/1971,"4,678.35"
Nicaragua,Central America and the Caribbean,1/1/1976,"5,219.41"
Nicaragua,Central America and the Caribbean,1/1/1981,"3,594.80"
Nicaragua,Central America and the Caribbean,1/1/1986,"3,050.94"
Nicaragua,Central America and the Caribbean,1/1/1991,"2,234.44"
Nicaragua,Central America and the Caribbean,1/1/1996,"2,196.82"
Nicaragua,Central America and the Caribbean,1/1/2001,"2,511.22"
Nicaragua,Central America and the Caribbean,1/1/2006,"2,714.08"
Nicaragua,Central America and the Caribbean,1/1/2011,"2,991.22"
Panama,Central America and the Caribbean,1/1/1901,"1,689.99"
Panama,Central America and the Caribbean,1/1/1906,"1,786.61"
Panama,Central America and the Caribbean,1/1/1911,"1,888.75"
Panama,Central America and the Caribbean,1/1/1916,"1,996.73"
Panama,Central America and the Caribbean,1/1/1921,"2,110.88"
Panama,Central America and the Caribbean,1/1/1926,"2,231.56"
Panama,Central America and the Caribbean,1/1/1931,"2,359.14"
Panama,Central America and the Caribbean,1/1/1936,"2,494.01"
Panama,Central America and the Caribbean,1/1/1941,"2,636.59"
Panama,Central America and the Caribbean,1/1/1946,"2,811.71"
Panama,Central America and the Caribbean,1/1/1951,"2,415.69"
Panama,Central America and the Caribbean,1/1/1956,"2,750.55"
Panama,Central America and the Caribbean,1/1/1961,"3,358.29"
Panama,Central America and the Caribbean,1/1/1966,"4,200.79"
Panama,Central America and the Caribbean,1/1/1971,"5,234.49"
Panama,Central America and the Caribbean,1/1/1976,"5,437.09"
Panama,Central America and the Caribbean,1/1/1981,"6,777.81"
Panama,Central America and the Caribbean,1/1/1986,"7,003.71"
Panama,Central America and the Caribbean,1/1/1991,"6,236.41"
Panama,Central America and the Caribbean,1/1/1996,"6,951.60"
Panama,Central America and the Caribbean,1/1/2001,"7,317.09"
Panama,Central America and the Caribbean,1/1/2006,"8,960.44"
Panama,Central America and the Caribbean,1/1/2011,"12,516.44"
Paraguay,South America,1/1/1901,"1,535.27"
Paraguay,South America,1/1/1906,"1,633.14"
Paraguay,South America,1/1/1911,"1,737.24"
Paraguay,South America,1/1/1916,"1,847.99"
Paraguay,South America,1/1/1921,"1,965.79"
Paraguay,South America,1/1/1926,"2,091.10"
Paraguay,South America,1/1/1931,"2,224.41"
Paraguay,South America,1/1/1936,"2,366.21"
Paraguay,South America,1/1/1941,"2,256.51"
Paraguay,South America,1/1/1946,"2,352.90"
Paraguay,South America,1/1/1951,"2,038.81"
Paraguay,South America,1/1/1956,"2,006.18"
Paraguay,South America,1/1/1961,"2,058.78"
Paraguay,South America,1/1/1966,"2,219.58"
Paraguay,South America,1/1/1971,"2,465.48"
Paraguay,South America,1/1/1976,"3,000.98"
Paraguay,South America,1/1/1981,"4,534.67"
Paraguay,South America,1/1/1986,"3,943.64"
Paraguay,South America,1/1/1991,"4,244.88"
Paraguay,South America,1/1/1996,"4,254.72"
Paraguay,South America,1/1/2001,"3,885.14"
Paraguay,South America,1/1/2006,"4,007.33"
Paraguay,South America,1/1/2011,"4,611.84"
Peru,South America,1/1/1901,"1,098.30"
Peru,South America,1/1/1906,"1,391.58"
Peru,South America,1/1/1911,"1,495.16"
Peru,South America,1/1/1916,"1,789.86"
Peru,South America,1/1/1921,"1,899.58"
Peru,South America,1/1/1926,"2,523.87"
Peru,South America,1/1/1931,"2,272.66"
Peru,South America,1/1/1936,"2,918.46"
Peru,South America,1/1/1941,"2,841.44"
Peru,South America,1/1/1946,"3,029.70"
Peru,South America,1/1/1951,"3,665.31"
Peru,South America,1/1/1956,"4,157.30"
Peru,South America,1/1/1961,"4,747.91"
Peru,South America,1/1/1966,"5,724.34"
Peru,South America,1/1/1971,"5,916.94"
Peru,South America,1/1/1976,"6,453.03"
Peru,South America,1/1/1981,"6,561.48"
Peru,South America,1/1/1986,"5,987.60"
Peru,South America,1/1/1991,"4,581.33"
Peru,South America,1/1/1996,"5,474.06"
Peru,South America,1/1/2001,"5,714.90"
Peru,South America,1/1/2006,"6,860.37"
Peru,South America,1/1/2011,"8,864.58"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1901,"1,322.39"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1906,"1,366.67"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1911,"1,412.42"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1916,"1,483.12"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1921,"1,573.98"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1926,"1,670.40"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1931,"1,772.73"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1936,"1,881.33"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1941,"1,996.58"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1946,"2,118.89"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1951,"2,248.69"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1956,"2,386.44"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1961,"2,532.64"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1966,"2,687.78"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1971,"3,025.98"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1976,"3,821.38"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1981,"5,355.19"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1986,"7,056.98"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1991,"9,409.98"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/1996,"11,275.20"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/2001,"12,572.49"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/2006,"14,033.14"
Saint Kitts and Nevis,Central America and the Caribbean,1/1/2011,"13,024.64"
Saint Lucia,Central America and the Caribbean,1/1/1901,"1,200.00"
Saint Lucia,Central America and the Caribbean,1/1/1906,"1,218.96"
Saint Lucia,Central America and the Caribbean,1/1/1911,"1,238.23"
Saint Lucia,Central America and the Caribbean,1/1/1916,"1,257.80"
Saint Lucia,Central America and the Caribbean,1/1/1921,"1,277.67"
Saint Lucia,Central America and the Caribbean,1/1/1926,"1,297.87"
Saint Lucia,Central America and the Caribbean,1/1/1931,"1,318.38"
Saint Lucia,Central America and the Caribbean,1/1/1936,"1,339.22"
Saint Lucia,Central America and the Caribbean,1/1/1941,"1,360.38"
Saint Lucia,Central America and the Caribbean,1/1/1946,"1,381.88"
Saint Lucia,Central America and the Caribbean,1/1/1951,"1,456.58"
Saint Lucia,Central America and the Caribbean,1/1/1956,"1,779.98"
Saint Lucia,Central America and the Caribbean,1/1/1961,"2,175.18"
Saint Lucia,Central America and the Caribbean,1/1/1966,"2,658.13"
Saint Lucia,Central America and the Caribbean,1/1/1971,"3,240.58"
Saint Lucia,Central America and the Caribbean,1/1/1976,"4,185.71"
Saint Lucia,Central America and the Caribbean,1/1/1981,"4,543.20"
Saint Lucia,Central America and the Caribbean,1/1/1986,"6,166.82"
Saint Lucia,Central America and the Caribbean,1/1/1991,"7,415.17"
Saint Lucia,Central America and the Caribbean,1/1/1996,"8,317.93"
Saint Lucia,Central America and the Caribbean,1/1/2001,"8,123.67"
Saint Lucia,Central America and the Caribbean,1/1/2006,"10,055.44"
Saint Lucia,Central America and the Caribbean,1/1/2011,"10,653.72"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1901,"1,057.91"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1906,"1,093.33"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1911,"1,129.94"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1916,"1,178.21"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1921,"1,235.85"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1926,"1,296.32"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1931,"1,359.74"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1936,"1,426.27"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1941,"1,496.05"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1946,"1,569.25"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1951,"1,685.78"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1956,"1,992.36"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1961,"2,345.64"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1966,"2,254.52"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1971,"2,420.94"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1976,"2,383.84"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1981,"2,930.14"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1986,"3,694.01"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1991,"4,579.71"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/1996,"4,750.75"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/2001,"5,898.99"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/2006,"7,126.11"
Saint Vincent and the Grenadines,Central America and the Caribbean,1/1/2011,"6,946.79"
Suriname,South America,1/1/1901,"1,711.88"
Suriname,South America,1/1/1906,"1,769.20"
Suriname,South America,1/1/1911,"1,828.43"
Suriname,South America,1/1/1916,"1,936.68"
Suriname,South America,1/1/1921,"2,085.26"
Suriname,South America,1/1/1926,"2,245.23"
Suriname,South America,1/1/1931,"2,417.47"
Suriname,South America,1/1/1936,"2,602.93"
Suriname,South America,1/1/1941,"2,802.62"
Suriname,South America,1/1/1946,"3,017.62"
Suriname,South America,1/1/1951,"3,272.26"
Suriname,South America,1/1/1956,"3,650.53"
Suriname,South America,1/1/1961,"4,072.52"
Suriname,South America,1/1/1966,"4,543.30"
Suriname,South America,1/1/1971,"5,250.97"
Suriname,South America,1/1/1976,"5,953.52"
Suriname,South America,1/1/1981,"6,417.63"
Suriname,South America,1/1/1986,"6,009.13"
Suriname,South America,1/1/1991,"5,962.17"
Suriname,South America,1/1/1996,"5,520.94"
Suriname,South America,1/1/2001,"5,962.11"
Suriname,South America,1/1/2006,"7,564.49"
Suriname,South America,1/1/2011,"8,711.00"
Trinidad and Tobago,Central America and the Caribbean,1/1/1901,"1,186.62"
Trinidad and Tobago,Central America and the Caribbean,1/1/1906,"1,218.32"
Trinidad and Tobago,Central America and the Caribbean,1/1/1911,"1,250.86"
Trinidad and Tobago,Central America and the Caribbean,1/1/1916,"1,349.04"
Trinidad and Tobago,Central America and the Caribbean,1/1/1921,"1,503.46"
Trinidad and Tobago,Central America and the Caribbean,1/1/1926,"1,675.54"
Trinidad and Tobago,Central America and the Caribbean,1/1/1931,"1,867.32"
Trinidad and Tobago,Central America and the Caribbean,1/1/1936,"2,081.06"
Trinidad and Tobago,Central America and the Caribbean,1/1/1941,"2,319.25"
Trinidad and Tobago,Central America and the Caribbean,1/1/1946,"2,584.72"
Trinidad and Tobago,Central America and the Caribbean,1/1/1951,"2,987.51"
Trinidad and Tobago,Central America and the Caribbean,1/1/1956,"3,881.04"
Trinidad and Tobago,Central America and the Caribbean,1/1/1961,"4,888.04"
Trinidad and Tobago,Central America and the Caribbean,1/1/1966,"5,550.35"
Trinidad and Tobago,Central America and the Caribbean,1/1/1971,"6,346.12"
Trinidad and Tobago,Central America and the Caribbean,1/1/1976,"7,555.17"
Trinidad and Tobago,Central America and the Caribbean,1/1/1981,"9,815.18"
Trinidad and Tobago,Central America and the Caribbean,1/1/1986,"7,818.14"
Trinidad and Tobago,Central America and the Caribbean,1/1/1991,"7,398.63"
Trinidad and Tobago,Central America and the Caribbean,1/1/1996,"8,449.63"
Trinidad and Tobago,Central America and the Caribbean,1/1/2001,"11,020.92"
Trinidad and Tobago,Central America and the Caribbean,1/1/2006,"17,333.50"
Trinidad and Tobago,Central America and the Caribbean,1/1/2011,"17,185.79"
United States,North America,1/1/1901,"7,305.78"
United States,North America,1/1/1906,"8,205.42"
United States,North America,1/1/1911,"8,010.71"
United States,North America,1/1/1916,"8,875.24"
United States,North America,1/1/1921,"8,068.82"
United States,North America,1/1/1926,"9,990.36"
United States,North America,1/1/1931,"8,640.93"
United States,North America,1/1/1936,"9,629.63"
United States,North America,1/1/1941,"12,667.38"
United States,North America,1/1/1946,"15,431.41"
United States,North America,1/1/1951,"16,750.74"
United States,North America,1/1/1956,"17,783.27"
United States,North America,1/1/1961,"18,226.62"
United States,North America,1/1/1966,"22,263.22"
United States,North America,1/1/1971,"23,744.67"
United States,North America,1/1/1976,"25,881.72"
United States,North America,1/1/1981,"28,160.14"
United States,North America,1/1/1986,"31,297.31"
United States,North America,1/1/1991,"33,076.87"
United States,North America,1/1/1996,"35,807.00"
United States,North America,1/1/2001,"39,474.11"
United States,North America,1/1/2006,"42,378.85"
United States,North America,1/1/2011,"41,678.41"
Uruguay,South America,1/1/1901,"2,575.86"
Uruguay,South America,1/1/1906,"2,921.72"
Uruguay,South America,1/1/1911,"3,410.32"
Uruguay,South America,1/1/1916,"2,892.97"
Uruguay,South America,1/1/1921,"3,173.00"
Uruguay,South America,1/1/1926,"3,918.96"
Uruguay,South America,1/1/1931,"4,037.12"
Uruguay,South America,1/1/1936,"3,989.47"
Uruguay,South America,1/1/1941,"4,247.21"
Uruguay,South America,1/1/1946,"4,709.27"
Uruguay,South America,1/1/1951,"5,714.81"
Uruguay,South America,1/1/1956,"6,182.26"
Uruguay,South America,1/1/1961,"5,808.70"
Uruguay,South America,1/1/1966,"5,737.16"
Uruguay,South America,1/1/1971,"5,916.95"
Uruguay,South America,1/1/1976,"6,468.66"
Uruguay,South America,1/1/1981,"7,690.70"
Uruguay,South America,1/1/1986,"6,946.57"
Uruguay,South America,1/1/1991,"7,628.84"
Uruguay,South America,1/1/1996,"8,856.81"
Uruguay,South America,1/1/2001,"8,732.20"
Uruguay,South America,1/1/2006,"9,620.33"
Uruguay,South America,1/1/2011,"12,741.79"
Venezuela,South America,1/1/1901,766.21
Venezuela,South America,1/1/1906,768.56
Venezuela,South America,1/1/1911,902.58
Venezuela,South America,1/1/1916,886.43
Venezuela,South America,1/1/1921,"1,121.98"
Venezuela,South America,1/1/1926,"2,450.58"
Venezuela,South America,1/1/1931,"2,722.11"
Venezuela,South America,1/1/1936,"3,284.70"
Venezuela,South America,1/1/1941,"3,706.05"
Venezuela,South America,1/1/1946,"5,771.33"
Venezuela,South America,1/1/1951,"7,511.88"
Venezuela,South America,1/1/1956,"8,992.67"
Venezuela,South America,1/1/1961,"8,309.33"
Venezuela,South America,1/1/1966,"9,259.60"
Venezuela,South America,1/1/1971,"10,428.93"
Venezuela,South America,1/1/1976,"12,688.92"
Venezuela,South America,1/1/1981,"11,729.27"
Venezuela,South America,1/1/1986,"9,411.92"
Venezuela,South America,1/1/1991,"10,243.34"
Venezuela,South America,1/1/1996,"9,725.53"
Venezuela,South America,1/1/2001,"9,604.52"
Venezuela,South America,1/1/2006,"10,707.25"
Venezuela,South America,1/1/2011,"11,241.08"
